image_id,text_prompt,emotion_label
happy/im771.png,A visual representation capturing the feeling of happy.,Happy
happy/im765.png,A visual representation capturing the feeling of happy.,Happy
happy/im1209.png,A visual representation capturing the feeling of happy.,Happy
happy/im1547.png,A visual representation capturing the feeling of happy.,Happy
happy/im995.png,A visual representation capturing the feeling of happy.,Happy
happy/im1221.png,A visual representation capturing the feeling of happy.,Happy
happy/im759.png,A visual representation capturing the feeling of happy.,Happy
happy/im1235.png,A visual representation capturing the feeling of happy.,Happy
happy/im981.png,A visual representation capturing the feeling of happy.,Happy
happy/im1553.png,A visual representation capturing the feeling of happy.,Happy
happy/im1584.png,A visual representation capturing the feeling of happy.,Happy
happy/im956.png,A visual representation capturing the feeling of happy.,Happy
happy/im942.png,A visual representation capturing the feeling of happy.,Happy
happy/im1590.png,A visual representation capturing the feeling of happy.,Happy
happy/im573.png,A visual representation capturing the feeling of happy.,Happy
happy/im215.png,A visual representation capturing the feeling of happy.,Happy
happy/im201.png,A visual representation capturing the feeling of happy.,Happy
happy/im567.png,A visual representation capturing the feeling of happy.,Happy
happy/im1023.png,A visual representation capturing the feeling of happy.,Happy
happy/im229.png,A visual representation capturing the feeling of happy.,Happy
happy/im1745.png,A visual representation capturing the feeling of happy.,Happy
happy/im1751.png,A visual representation capturing the feeling of happy.,Happy
happy/im1037.png,A visual representation capturing the feeling of happy.,Happy
happy/im598.png,A visual representation capturing the feeling of happy.,Happy
happy/im407.png,A visual representation capturing the feeling of happy.,Happy
happy/im361.png,A visual representation capturing the feeling of happy.,Happy
happy/im87.png,A visual representation capturing the feeling of happy.,Happy
happy/im93.png,A visual representation capturing the feeling of happy.,Happy
happy/im1619.png,A visual representation capturing the feeling of happy.,Happy
happy/im375.png,A visual representation capturing the feeling of happy.,Happy
happy/im413.png,A visual representation capturing the feeling of happy.,Happy
happy/im1157.png,A visual representation capturing the feeling of happy.,Happy
happy/im1631.png,A visual representation capturing the feeling of happy.,Happy
happy/im1625.png,A visual representation capturing the feeling of happy.,Happy
